Co2,PV,Demand,Time-stamp
30,0,1.324,
30.06896552,0,1.32,
30.13793103,0,1.318,
30.20689655,0,1.32,
30.27586207,0,1.312,
30.34482759,0,1.314,
30.4137931,0,1.316,
30.48275862,0,1.318,
30.55172414,0,1.254,
30.62068966,0,1.254,
30.68965517,0,1.252,
30.75862069,0,1.206,
30.82758621,0,0.194,
30.89655172,0,0.194,
30.96551724,0,0.194,
31.03448276,0,0.194,
31.10344828,0,0.194,
31.17241379,0,0.194,
31.24137931,0,0.194,
31.31034483,0,0.194,
31.37931034,0,0.194,
31.44827586,0,0.194,
31.51724138,0,0.292,
31.5862069,0,0.304,
31.65517241,0,0.3,
31.72413793,0,0.298,
31.79310345,0,0.296,
31.86206897,0,0.294,
31.93103448,0,0.294,
32,0,0.294,
32,0,0.292,
31.96551724,0,0.292,
31.93103448,0,0.29,
31.89655172,0,0.29,
31.86206897,0,0.29,
31.82758621,0,0.29,
31.79310345,0,0.29,
31.75862069,0,0.288,
31.72413793,0,0.288,
31.68965517,0,0.262,
31.65517241,0,0.272,
31.62068966,0,0.272,
31.5862069,0,0.272,
31.55172414,0,0.272,
31.51724138,0,0.27,
31.48275862,0,0.27,
31.44827586,0,0.268,
31.4137931,0,0.266,
31.37931034,0,0.266,
31.34482759,0,0.266,
31.31034483,0,0.222,
31.27586207,0,0.194,
31.24137931,0,0.194,
31.20689655,0,0.194,
31.17241379,0,0.194,
31.13793103,0,0.194,
31.10344828,0,0.194,
31.06896552,0,0.196,
31.03448276,0,0.196,
31,0,0.196,
31,0,0.196,
30.93103448,0,0.196,
30.86206897,0,0.194,
30.79310345,0,0.194,
30.72413793,0,0.294,
30.65517241,0,0.306,
30.5862069,0,0.302,
30.51724138,0,0.3,
30.44827586,0,0.298,
30.37931034,0,0.296,
30.31034483,0,0.296,
30.24137931,0,0.294,
30.17241379,0,0.294,
30.10344828,0,0.292,
30.03448276,0,0.29,
29.96551724,0,0.292,
29.89655172,0,0.29,
29.82758621,0,0.29,
29.75862069,0,0.29,
29.68965517,0,0.29,
29.62068966,0,0.288,
29.55172414,0,0.224,
29.48275862,0,0.256,
29.4137931,0,0.272,
29.34482759,0,0.272,
29.27586207,0,0.272,
29.20689655,0,0.272,
29.13793103,0,0.27,
29.06896552,0,0.27,
29,0,0.268,
29,0,0.268,
28.96551724,0,0.266,
28.93103448,0,0.256,
28.89655172,0,0.196,
28.86206897,0,0.196,
28.82758621,0,0.196,
28.79310345,0,0.196,
28.75862069,0,0.196,
28.72413793,0,0.196,
28.68965517,0,0.196,
28.65517241,0,0.238,
28.62068966,0,0.282,
28.5862069,0,0.28,
28.55172414,0,0.28,
28.51724138,0,0.282,
28.48275862,0,0.282,
28.44827586,0,0.31,
28.4137931,0,0.392,
28.37931034,0,0.388,
28.34482759,0,0.386,
28.31034483,0,0.382,
28.27586207,0,0.382,
28.24137931,0,0.378,
28.20689655,0,0.376,
28.17241379,0,0.374,
28.13793103,0,0.372,
28.10344828,0,0.37,
28.06896552,0,0.368,
28.03448276,0,0.368,
28,0,0.368,
28,0,0.368,
27.93103448,0,0.368,
27.86206897,0,0.366,
27.79310345,0,0.366,
27.72413793,0,0.282,
27.65517241,0,0.346,
27.5862069,0,0.35,
27.51724138,0,0.348,
27.44827586,0,0.348,
27.37931034,0,0.35,
27.31034483,0,0.348,
27.24137931,0,0.346,
27.17241379,0,0.344,
27.10344828,0,0.344,
27.03448276,0,0.342,
26.96551724,0,0.302,
26.89655172,0,0.272,
26.82758621,0,0.272,
26.75862069,0,0.27,
26.68965517,0,0.27,
26.62068966,0,0.27,
26.55172414,0,0.272,
26.48275862,0,0.272,
26.4137931,0,0.272,
26.34482759,0,0.272,
26.27586207,0,0.272,
26.20689655,0,0.272,
26.13793103,0,0.272,
26.06896552,0,0.272,
26,0,0.366,
26,0,0.382,
26,0,0.378,
26,0,0.376,
26,0,0.374,
26,0,0.374,
26,0,0.372,
26,0,0.372,
26,0,0.368,
26,0,0.368,
26,0,0.368,
26,0,0.366,
26,0,0.308,
26,0,0.296,
26,0,0.296,
26,0,0.298,
26,0,0.298,
26,0,0.244,
26,0,0.266,
26,0,0.28,
26,0,0.282,
26,0,0.28,
26,0,0.28,
26,0,0.278,
26,0,0.276,
26,0,0.274,
26,0,0.274,
26,0,0.272,
26,0,0.236,
26,0,0.2,
26,0,0.2,
26,0,0.2,
25.93103448,0,0.202,
25.86206897,0,0.202,
25.79310345,0,0.2,
25.72413793,0,0.2,
25.65517241,0,0.2,
25.5862069,0,0.2,
25.51724138,0,0.2,
25.44827586,0,0.198,
25.37931034,0,0.2,
25.31034483,0,0.2,
25.24137931,0,0.224,
25.17241379,0,0.312,
25.10344828,0,0.31,
25.03448276,0,0.306,
24.96551724,0,0.304,
24.89655172,0,0.302,
24.82758621,0,0.302,
24.75862069,0,0.3,
24.68965517,0,0.298,
24.62068966,0,0.296,
24.55172414,0,0.296,
24.48275862,0,0.294,
24.4137931,0,0.294,
24.34482759,0,0.294,
24.27586207,0,0.294,
24.20689655,0,0.294,
24.13793103,0,0.294,
24.06896552,0,0.29,
24,0,0.218,
24,0,0.278,
24.03448276,0,0.278,
24.06896552,0,0.278,
24.10344828,0,0.278,
24.13793103,0,0.276,
24.17241379,0,0.276,
24.20689655,0,0.274,
24.24137931,0,0.272,
24.27586207,0,0.27,
24.31034483,0,0.272,
24.34482759,0,0.202,
24.37931034,0,0.198,
24.4137931,0,0.198,
24.44827586,0,0.198,
24.48275862,0,0.198,
24.51724138,0,0.198,
24.55172414,0,0.198,
24.5862069,0,0.198,
24.62068966,0,0.198,
24.65517241,0,0.2,
24.68965517,0,0.2,
24.72413793,0,0.2,
24.75862069,0,0.2,
24.79310345,0,0.198,
24.82758621,0,0.282,
24.86206897,0,0.31,
24.89655172,0,0.304,
24.93103448,0,0.302,
24.96551724,0,0.3,
25,0,0.298,
25,0,0.296,
25,0,0.296,
25,0,0.296,
25,0,0.298,
25,0,0.298,
25,0,0.298,
25,0,0.298,
25,0,0.298,
25,0,0.296,
25,0,0.296,
25,0,0.296,
25,0,0.224,
25,0,0.236,
25,0,0.276,
25,0,0.276,
25,0,0.276,
25,0,0.274,
25,0,0.274,
25,0,0.272,
25,0,0.272,
25,0,0.27,
25,0,0.27,
25,0,0.252,
25,0,0.198,
25,0,0.2,
25,0,0.22,
25,0,0.218,
25,0,0.2,
25,0,0.198,
25,0,0.198,
25,0,0.196,
25.03448276,0,0.196,
25.06896552,0,0.196,
25.10344828,0,0.196,
25.13793103,0,0.196,
25.17241379,0,0.196,
25.20689655,0,0.246,
25.24137931,0,0.308,
25.27586207,0,0.304,
25.31034483,0,0.302,
25.34482759,0,0.3,
25.37931034,0,0.3,
25.4137931,0,0.298,
25.44827586,0,0.298,
25.48275862,0,0.296,
25.51724138,0,0.294,
25.55172414,0,0.294,
25.5862069,0,0.294,
25.62068966,0,0.292,
25.65517241,0,0.292,
25.68965517,0,0.384,
25.72413793,0,0.376,
25.75862069,0,0.374,
25.79310345,0,0.342,
25.82758621,0,0.284,
25.86206897,0,0.284,
25.89655172,0,0.374,
25.93103448,0,0.36,
25.96551724,0,0.36,
26,0,0.358,
